titulo,textos,verdadeira
“Brasil vacina mais que toda a Europa junto”,“Brasil vacina mais que toda a Europa junto”,1
“Eu não quero discutir a cloroquina aqui. Eu tomei e me safei.”,“Eu não quero discutir a cloroquina aqui. Eu tomei e me safei.”,1
“Muita gente tomou [cloroquina] e se safou.”,“Muita gente tomou [cloroquina] e se safou.”,1
"“Desde março do ano passado eu falava, né, continuo falando, que nós temos dois inimigos: o vírus e o desemprego.”","“Desde março do ano passado eu falava, né, continuo falando, que nós temos dois inimigos: o vírus e o desemprego.”",1
"“São Paulo, por exemplo: fecha restaurante, fecha bar, não pode vender um cachorro-quente na praça, não pode nada, não tem consumo de tomate.”","“São Paulo, por exemplo: fecha restaurante, fecha bar, não pode vender um cachorro-quente na praça, não pode nada, não tem consumo de tomate.”",1
“Brasil vacina mais que toda Europa junta.”,“Brasil vacina mais que toda Europa junta.”,1
"“Agora, por que não compramos antecipadamente de alguns laboratórios? Porque tinha que passar pela Anvisa, pessoal. Eu não posso ser irresponsável a ponto de comprar uma vacina que vai ser injetada em você sem uma comprovação, sem uma certificação da mesma.”","“Agora, por que não compramos antecipadamente de alguns laboratórios? Porque tinha que passar pela Anvisa, pessoal. Eu não posso ser irresponsável a ponto de comprar uma vacina que vai ser injetada em você sem uma comprovação, sem uma certificação da mesma.”",1
"“Afinal, sou chefe do Executivo, sei disso, mas o artigo 5º da Constituição, por parte de alguns governadores, deixou de existir.”","“Afinal, sou chefe do Executivo, sei disso, mas o artigo 5º da Constituição, por parte de alguns governadores, deixou de existir.”",1
"“Mas, infelizmente, por decisão do STF, alguns governadores e pouquíssimos prefeitos têm, na base da canetada, simplesmente ignorando, rasgando, jogando no lixo o artigo 5º da nossa Constituição Federal.”","“Mas, infelizmente, por decisão do STF, alguns governadores e pouquíssimos prefeitos têm, na base da canetada, simplesmente ignorando, rasgando, jogando no lixo o artigo 5º da nossa Constituição Federal.”",1
"“Esse Fachin, esse ministro foi o mesmo que disse que a PM do Rio de Janeiro — disse não, escreveu — não poderia fazer operações em comunidades.”","“Esse Fachin, esse ministro foi o mesmo que disse que a PM do Rio de Janeiro — disse não, escreveu — não poderia fazer operações em comunidades.”",1
"“Afinal de contas, para deixar bem claro, a história do... lembra do achatar a curva? Era o quê? Era política de isolamento até que os hospitais se preparassem para receber os pacientes que, segundo o Mandetta, seriam aos milhares, para que não ficassem nas portas dos hospitais e deixassem de ser atendidos, sem leito de UTI, sem hospitais.”","“Afinal de contas, para deixar bem claro, a história do... lembra do achatar a curva? Era o quê? Era política de isolamento até que os hospitais se preparassem para receber os pacientes que, segundo o Mandetta, seriam aos milhares, para que não ficassem nas portas dos hospitais e deixassem de ser atendidos, sem leito de UTI, sem hospitais.”",1
“Nós implementamos o maior projeto social do mundo [o auxílio emergencial].”,“Nós implementamos o maior projeto social do mundo [o auxílio emergencial].”,1
"“Foram quatro, sete, seis ou sete de R$ 600 e mais quatro ou três de R$ 300. Dez prestações, deu.”","“Foram quatro, sete, seis ou sete de R$ 600 e mais quatro ou três de R$ 300. Dez prestações, deu.”",1
"“Por que que o Barroso não determina que se investigue também colegas teus no STF, já que tem processo de impeachment lá em cima deles.”","“Por que que o Barroso não determina que se investigue também colegas teus no STF, já que tem processo de impeachment lá em cima deles.”",1
"“Deram poderes a prefeitos mais amplos do que eu poderia, junto com o Parlamento, decretar, que é o estado de sítio.”","“Deram poderes a prefeitos mais amplos do que eu poderia, junto com o Parlamento, decretar, que é o estado de sítio.”",1
“Essa política de lockdown não deu certo em lugar nenhum do mundo.”,“Essa política de lockdown não deu certo em lugar nenhum do mundo.”,1
“[Principais ações do Ministério da Defesa no combate à Covid-19] 195.534 indígenas vacinados.”,“[Principais ações do Ministério da Defesa no combate à Covid-19] 195.534 indígenas vacinados.”,1
"“Hoje você está tendo uma amostra do que é o comunismo e quem são os protótipos de ditadores, aqueles que decretam proibição de cultos, toque de recolher, expropriação de imóveis, restrições a deslocamentos, etc”","“Hoje você está tendo uma amostra do que é o comunismo e quem são os protótipos de ditadores, aqueles que decretam proibição de cultos, toque de recolher, expropriação de imóveis, restrições a deslocamentos, etc”",1
"“Foi clara aquela decisão de um ministro do Supremo para abrir o impeachment para apurar denúncia contra o presidente Jair Bolsonaro, não contra quem possivelmente desviou recurso.”","“Foi clara aquela decisão de um ministro do Supremo para abrir o impeachment para apurar denúncia contra o presidente Jair Bolsonaro, não contra quem possivelmente desviou recurso.”",1
"“Nós estamos ligados na pandemia desde fevereiro do ano passado, quando gente liberou Carnaval...”","“Nós estamos ligados na pandemia desde fevereiro do ano passado, quando gente liberou Carnaval...”",1
"“Como, por exemplo: aprovaram a lei da internet de graça para todo mundo. O custo é bilionário. Não apontaram a fonte de recursos.”","“Como, por exemplo: aprovaram a lei da internet de graça para todo mundo. O custo é bilionário. Não apontaram a fonte de recursos.”",1
"“Se o vídeo é de ontem mesmo, porque parece que é de ontem, parabéns para o prefeito [de Campo Grande].”","“Se o vídeo é de ontem mesmo, porque parece que é de ontem, parabéns para o prefeito [de Campo Grande].”",1
“Auxílio Emergencial (maior programa social do mundo);”,“Auxílio Emergencial (maior programa social do mundo);”,1
“Brasil é um dos países que mais vacinam no mundo;”,“Brasil é um dos países que mais vacinam no mundo;”,1
"“Eles [Chapecó] tiveram uma crise há pouco tempo, explodiu o número de contaminados, muitos óbitos também, e ele agrega não só gente de Chapecó, mas gente de uma vasta região ali ao seu lado. E demonstrou pra gente que a liberdade que ele deu aos médicos para receitar, para botar em prática um atendimento imediato, com certeza influenciou na queda do número de obitos, bem como na recuperação de pacientes.”","“Eles [Chapecó] tiveram uma crise há pouco tempo, explodiu o número de contaminados, muitos óbitos também, e ele agrega não só gente de Chapecó, mas gente de uma vasta região ali ao seu lado. E demonstrou pra gente que a liberdade que ele deu aos médicos para receitar, para botar em prática um atendimento imediato, com certeza influenciou na queda do número de obitos, bem como na recuperação de pacientes.”",1
"“E hoje em dia, ele [prefeito de Chapecó] não tem paciente em fila de UTI.”","“E hoje em dia, ele [prefeito de Chapecó] não tem paciente em fila de UTI.”",1
"“Então, as organizações de saúde que existiam, sempre existiram lá [em Chapecó], hoje em dia estão com a taxa de ocupação elevada das UTIs, como sempre tiveram na história do Brasil (...)”","“Então, as organizações de saúde que existiam, sempre existiram lá [em Chapecó], hoje em dia estão com a taxa de ocupação elevada das UTIs, como sempre tiveram na história do Brasil (...)”",1
“E deixo bem claro: o grande exemplo do que eu tive lá [Chapecó] é a total liberdade que ele deu ao seu secretário municipal de aúde para realizar o tratamento imediato de quem por ventura apresente os primeiros sintomas da Covid.”,“E deixo bem claro: o grande exemplo do que eu tive lá [Chapecó] é a total liberdade que ele deu ao seu secretário municipal de aúde para realizar o tratamento imediato de quem por ventura apresente os primeiros sintomas da Covid.”,1
"“Além de outras medidas, como, por exemplo, o maior projeto social do mundo, que foi o auxílio emergencial.”","“Além de outras medidas, como, por exemplo, o maior projeto social do mundo, que foi o auxílio emergencial.”",1
“Nós somos um dos países que mais vacina no mundo.”,“Nós somos um dos países que mais vacina no mundo.”,1
"“Coisa que não existia [suicídios no Brasil]. Quer dizer, existia, mas não com essa frequência.”","“Coisa que não existia [suicídios no Brasil]. Quer dizer, existia, mas não com essa frequência.”",1
"“E lá dentro [de igrejas], com todas as medidas de afastamento, de... etc, não tem a possibilidade, a possibilidade de transmitir o vírus é quase zero.”","“E lá dentro [de igrejas], com todas as medidas de afastamento, de... etc, não tem a possibilidade, a possibilidade de transmitir o vírus é quase zero.”",1
“O Pazuello comprou vacina desde o ano passado. Fez contrato para comprar vacina.”,“O Pazuello comprou vacina desde o ano passado. Fez contrato para comprar vacina.”,1
“Precisava passar pela Anvisa. É uma irresponsabilidade a gente comprar a vacina sem a certificação da Anvisa.”,“Precisava passar pela Anvisa. É uma irresponsabilidade a gente comprar a vacina sem a certificação da Anvisa.”,1
“Eu não posso comprar uma coisa que ainda... Primeiro que não tava no mercado. E depois que a gente não sabia como aquilo ia funcionar.”,“Eu não posso comprar uma coisa que ainda... Primeiro que não tava no mercado. E depois que a gente não sabia como aquilo ia funcionar.”,1
"“Se eu gasto, por exemplo, R$ 500 milhões no ano passado para comprar a vacina e depois a Anvisa reprovasse, que que eu ia fazer com aquela vacina? Tinha que jogar fora, né?”","“Se eu gasto, por exemplo, R$ 500 milhões no ano passado para comprar a vacina e depois a Anvisa reprovasse, que que eu ia fazer com aquela vacina? Tinha que jogar fora, né?”",1
“Mas a preocupação estava dentro do governo federal [desde o resgate dos brasileiros em Wuhan].”,“Mas a preocupação estava dentro do governo federal [desde o resgate dos brasileiros em Wuhan].”,1
“Daí apareceu a questão do achatamento da curva. Devemos achatar a curva com medidas de isolamento para que os hospitais se preparem com leitos de UTI e respiradores.”,“Daí apareceu a questão do achatamento da curva. Devemos achatar a curva com medidas de isolamento para que os hospitais se preparem com leitos de UTI e respiradores.”,1
"“Apareceram as medidas restritivas, que eu nunca fui favorável a elas, a não ser numa emergência. A não ser naquele momento, para você melhor preparar as suas unidades de saúde.”","“Apareceram as medidas restritivas, que eu nunca fui favorável a elas, a não ser numa emergência. A não ser naquele momento, para você melhor preparar as suas unidades de saúde.”",1
"“Tomei um medicamento, todo mundo sabe qual foi, no dia seguinte tava bom. Muitos fizeram isso.”","“Tomei um medicamento, todo mundo sabe qual foi, no dia seguinte tava bom. Muitos fizeram isso.”",1
"“Desde o começo, nós falamos em Brasília: temos dois problemas pela frente, o vírus e o desemprego.”","“Desde o começo, nós falamos em Brasília: temos dois problemas pela frente, o vírus e o desemprego.”",1
"“Eu acredito na ciência, mas a ciência, por vezes, demora.”","“Eu acredito na ciência, mas a ciência, por vezes, demora.”",1
"“Na África não existe nada. Existe ivermectina para combater a cegueira dos rios, combater outras coisas, junto com a hidroxicloroquina, para combater a malária, e procura saber o que acontece com aquele povo no tocante à Covid. Não vou entrar em detalhes aqui.”","“Na África não existe nada. Existe ivermectina para combater a cegueira dos rios, combater outras coisas, junto com a hidroxicloroquina, para combater a malária, e procura saber o que acontece com aquele povo no tocante à Covid. Não vou entrar em detalhes aqui.”",1
"“[Suicídio] que aumentou, e muito, no Brasil.”","“[Suicídio] que aumentou, e muito, no Brasil.”",1
"“Cidade onde mais fechou no Brasil, onde mais morre gente por milhão de habitantes.”","“Cidade onde mais fechou no Brasil, onde mais morre gente por milhão de habitantes.”",1
"“Queremos a vacina? Em passando pela Anvisa, sim (...)”","“Queremos a vacina? Em passando pela Anvisa, sim (...)”",1
"“Chapecó passou por uma crise séria há poucas semanas. Pelo que tudo indica, tá numa normalidade entre aspas, mas já tá numa normalidade.”","“Chapecó passou por uma crise séria há poucas semanas. Pelo que tudo indica, tá numa normalidade entre aspas, mas já tá numa normalidade.”",1
“Ficar em casa não é solução para ninguém. Não vai dar certo.”,“Ficar em casa não é solução para ninguém. Não vai dar certo.”,1
"“Essas políticas restritivas, eu tenho falado, como o lockdown exagerado, direito de ir e vir, toque de recolher, isso não existe nem no estado de sítio.”","“Essas políticas restritivas, eu tenho falado, como o lockdown exagerado, direito de ir e vir, toque de recolher, isso não existe nem no estado de sítio.”",1
"“Se eu não posso fazer muita coisa via estado de sítio juntamente com o Parlamento brasileiro, por que os prefeitos tão fazendo isso, os governadores tão fazendo isso pelo Brasil?”","“Se eu não posso fazer muita coisa via estado de sítio juntamente com o Parlamento brasileiro, por que os prefeitos tão fazendo isso, os governadores tão fazendo isso pelo Brasil?”",1
"“Qual é o estado que mais fecha? São Paulo. E qual é o que tem mais número de mortes, mesmo proporcional.”","“Qual é o estado que mais fecha? São Paulo. E qual é o que tem mais número de mortes, mesmo proporcional.”",1
"“É o discurso que eu bato na mesma tecla desde março do ano passado, temos dois problemas pela frente gravíssimos ainda, o vírus e o desemprego.”","“É o discurso que eu bato na mesma tecla desde março do ano passado, temos dois problemas pela frente gravíssimos ainda, o vírus e o desemprego.”",1
“O Brasil é um dos primeiros países a mais vacinar no mundo.”,“O Brasil é um dos primeiros países a mais vacinar no mundo.”,1
"“Estamos só atrás de outros países que produzem vacinas, estamos no quinto lugar [de países que mais vacinam].”","“Estamos só atrás de outros países que produzem vacinas, estamos no quinto lugar [de países que mais vacinam].”",1
"“Nós sempre falamos: entre governo federal, presidente e a vacina, o balcão, onde se vende vacina, existe a Anvisa no meio do caminho.”","“Nós sempre falamos: entre governo federal, presidente e a vacina, o balcão, onde se vende vacina, existe a Anvisa no meio do caminho.”",1
