textos,verdadeira,data,links
"Como prevenir o coronavírus: beba chá de erva-doce duas vezes por dia. O chá de erva-doce tem o mesmo componente do medicamento Tamiflu, usado no tratamento do H1N1",1,02/01/2020,https://piaui.folha.uol.com.br/lupa/2020/02/01/verificamos-coronavirus-erva-doce/
"Vídeo supostamente gravado em 31 de março em que um homem mostra centro de distribuição de alimentos em Contagem (MG) e alega escassez de alimentos em Minas Gerais causada por medidas de isolamento social. Vídeo foi tuitado por Jair Bolsonaro, que mais tarde o excluiu.",1,04/01/2020,https://piaui.folha.uol.com.br/lupa/2020/04/01/twitter-bolsonaro-video-desabastecimento-ceasa-minas-gerais/
Eles criam doenças para oferecer vacinas. Já existe uma patente para um coronavírus atenuado.,1,24/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/24/verificamos-patente-farmaceuticas-coronavirus-vacinas/
"Coronavírus na China: mais de 30 milhões em quarentena, 2,8 milhões infectados; 112.000 mortos! Pessoas caindo nas ruas e trens! Supermercados sem comida!",1,27/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/27/verificamos-coronavirus-infectou-28-milhoes-matou-112-mil-china/?check=1
Paciente com coronavírus morde jugular de médico nos EUA,1,28/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/28/verificamos-globo-coronavirus/
"Empresa chinesa Ruilan Bao Hu San Biotech Limited é a origem do novo coronavírus. Seu logotipo lembra a Umbrella Corporation, do videogame Resident Evil.",1,29/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/29/verificamos-resident-evil/
"Foto de várias pessoas caídas no chão no meio da rua, supostamente na China",1,30/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/30/verificamos-coronavirus-caidos/
"Vídeo do mercado de Wuhan, cidade chinesa onde o novo coronavírus começou a se espalhar.",1,30/01/2020,https://piaui.folha.uol.com.br/lupa/2020/01/30/verificamos-video-feira/
Médicos confirmam que o novo coronavírus pode chegar ao Brasil por meio de pacotes do AliExpress.,1,05/02/2020,https://piaui.folha.uol.com.br/lupa/2020/02/05/verificamos-coronavirus-encomendas-china/
"Caso do novo coronavírus foi registrado em hospital no Maranhão, Brasil.",1,05/02/2020,https://piaui.folha.uol.com.br/lupa/2020/02/05/verificamos-coronavirus-maranhao/
"Este é um mercado na China, onde morcegos e cobras eram servidos como alimento.",1,05/02/2020,https://piaui.folha.uol.com.br/lupa/2020/02/05/verificamos-novo-video-mercado-morcegos-indonesia-china/
Pesquisas mostram que partes do código genético do HIV foram inseridas no novo coronavírus.,1,06/02/2020,https://piaui.folha.uol.com.br/lupa/2020/02/06/verificamos-estudo-coronavirus-hiv/
Imagens de satélite mostram aumento nas emissões de SO2 em torno de Wuhan.,1,13/02/2020,https://piaui.folha.uol.com.br/lupa/2020/02/13/verificamos-satelite-cremacao/
Os Simpsons previram o surto de coronavírus.,1,03/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/03/verificamos-simpsons-previram-chegada-novo-coronavirus/
O vinagre é mais eficaz que os desinfetantes para as mãos à base de álcool para matar o novo coronavírus.,1,03/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/03/verificamos-vinagre-coronavirus/
A vitamina C e a água morna com limão podem prevenir o COVID-19.,1,04/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/04/verificamos-vitamina-coronavirus/
Desinfetante para as mãos à base de álcool pode influenciar os resultados em um teste do bafômetro.,1,06/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/
Bebidas quentes matam o coronavírus: o vírus morre quando a temperatura ambiente é superior a 26ºC. Gargarejar água quente ajuda a tratar a doença e o vírus fica em suas mãos por 10 minutos.,1,12/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/12/verificamos-informacoes-falsas-caracteristicas-novo-coronavirus/
Cuba desenvolveu vacina contra o coronavírus.,1,13/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/13/verificamos-cuba-vacina-novo-coronavirus/
Você pode autodiagnosticar o COVID-19 prendendo a respiração por 10 segundos e evitar o COVID-19 bebendo água constantemente. COVID-19 causa fibrose nos pulmões.,1,16/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/16/verificamos-prender-respiracao-10-segundos-novo-coronavirus/
Água fervida com alho cura o coronavírus.,1,17/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-agua-fervida-com-alho-cura-novo-coronavirus/
Igreja Universal do Reino de Deus está vendendo 500 frascos “abençoados” de desinfetantes para as mãos,1,17/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-igreja-universal-alcool-em-gel-ungido/
Israel já desenvolveu uma vacina contra o COVID-19,1,17/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-israel-vacina-coronavirus/
Cantora brasileira Preta Gil cantou em um bloco de carnaval quando já estava infectada com coronavírus.,1,17/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-preta-gil-covid/
Evite beber água fria durante a pandemia; exposição à luz solar é benéfica,1,17/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-recomendacoes-coronavirus/
Vítimas de coronavírus são enterradas nesta manhã na quarta-feira na Itália. “Descanse em paz”.,1,18/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/18/coronavirus-caixoes-italia/
"Rodrigo Maia, presidente da Câmara dos Deputados, votou uma lei que proíbe o presidente de fechar fronteiras.",1,18/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/18/verificamos-rodrigo-maia-lei-fechar-fronteiras/
Netflix oferece acesso gratuito a qualquer pessoa no Brasil durante a crise do coronavírus.,1,19/03/2020,https://piaui.folha.uol.com.br/lupa/2020/03/19/verificamos-netflix-coronavirus/
