,noticia,verdadeira,url
0,Confirmado um caso de Coronavírus em Santiago del Estero,1,https://chequeado.com/verificacionfb/no-no-se-confirmo-un-caso-de-coronavirus-en-santiago-del-estero/
1,Confirmado um caso de Coronavírus em Chaco. ,1,https://chequeado.com/verificacionfb/es-falso-que-se-confirmo-un-caso-de-coronavirus-en-chaco/
2,Um médico argentino descobriu e está aplicando uma vacina comtra o coronavírus na Espanha.,1,https://chequeado.com/verificacionfb/es-falso-que-un-medico-argentino-descubrio-y-esta-aplicando-una-vacuna-contra-el-coronavirus-en-espana/
3,"Presidente da Argentina, Alberto Fernández: “A OMS recomenda tomar muitas bebidas quentes porque o caoor mata o vírus”.",1,https://chequeado.com/ultimas-noticias/alberto-fernandez-la-organizacion-mundial-de-la-salud-entre-las-cosas-que-recomienda-es-que-uno-tome-muchas-bebidas-calientes-porque-el-calor-mata-el-virus/
4,"O presidente de Argentina, Alberto Fernández, disse que o coronavírus morre aos 26° C ambiente.",1,https://chequeado.com/ultimas-noticias/alberto-fernandez-dijo-que-el-coronavirus-muere-a-los-26-c-pero-no-hay-pruebas-de-eso/
5,O coronavírus atual foi criado em 2014 por um instituto inglês.,1,https://chequeado.com/verificacionfb/no-hay-evidencia-para-afirmar-que-el-coronavirus-actual-fue-creado-en-2014-por-un-instituto-ingles/
6,A vitamina C e a água com limão previnem o coronavírus.,1,https://chequeado.com/el-explicador/no-no-hay-pruebas-de-que-la-vitamina-c-y-el-agua-con-limon-prevengan-el-coronavirus/
7,Ginés González García disse que não tinha possibilidadee de existir coronavírus na Argentina.,1,https://chequeado.com/verificacionfb/es-enganoso-que-gines-gonzalez-garcia-dijo-que-no-habia-posibilidad-de-que-exista-el-coronavirus-en-la-argentina/
8,Marcelo Tinelli e Federico Bal têm coronavírus.,1,https://chequeado.com/el-explicador/coronavirus-dos-desinformaciones-sobre-marcelo-tinelli-y-federico-bal-se-volvieron-virales/
9,Nostradamus previu o coronavírus.,1,https://chequeado.com/verificacionfb/es-falso-que-nostradamus-predijo-el-coronavirus/
10,Uma foto na qual são vistas dezenas de pessoas jogadas na rua junto a um texto que afirma: “O coronavírus é uma doença sem cura e de morrte” (sic).,1,https://chequeado.com/verificacionfb/la-imagen-viral-no-esta-relacionada-con-el-coronavirus-sino-que-fue-sacada-en-alemania-en-2014/
11,Helicópteros da Força Aérea Argentina vão pulverizar desinfetante contra o coronavírus.,1,https://chequeado.com/verificacionfb/es-falso-que-helicopteros-de-la-fuerza-aerea-argentina-van-a-pulverizar-desinfectante-contra-el-coronavirus/
12,Christine Agarde disse: “Os idosos vivem muito e isso é um risco para a ecomomia global”.,1,https://chequeado.com/verificacionfb/es-falso-que-lagarde-dijo-los-ancianos-viven-demasiado-y-eso-es-un-riesgo-para-la-economia-global/
13,"Putin disse: “Poderosos do mundo, estou ciente dos seus diabólicos planos para reduzir a população”.",1,https://chequeado.com/verificacionfb/es-falso-el-video-en-el-que-putin-dice-poderosos-del-mundo-estoy-al-tanto-de-sus-diabolicos-planes-para-reducir-la-poblacion/
14,Vídeo de espanhois que violam a quarentena,1,https://chequeado.com/verificacionfb/coronavirus-es-falso-el-posteo-donde-se-muestra-a-espanoles-que-violan-la-quarentena/
15,Fazer gargarejos com água morna e sal elimina o vírus.,1,https://chequeado.com/el-explicador/es-falso-que-hacer-gargaras-con-agua-tibia-y-sal-elimina-el-virus/
