,data,url,noticia,verdadeira
0,04.fev.2021#,https://www.youtube.com/watch?v=K3_yDX__O4s&feature=youtu.be&ab_channel=BrasilUrgente,“Auxílio-emergencial (detalhes com o Presidente da @Caixa sobre o maior projeto social do mundo).”,1
1,09.nov.2020#,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/entrevistas/2019/entrevista-coletiva-concedida-pelo-presidente-da-republica-jair-bolsonaro-osaka-japao,"“Zombaram de mim, chamaram de capitão hidroxicloroquina, agora não apresentavam alternativa.”",1
2,18.jun.2020#,https://www1.folha.uol.com.br/poder/2019/02/ministro-de-bolsonaro-criou-candidatos-laranjas-para-desviar-recursos-na-eleicao.shtml,"“Isso que foi usado por um chefe da equipe médica, inclusive por coincidência, nada contra, filiado ao PT.”",1
3,12.jan.2021#,https://www.youtube.com/watch?v=FSOAahACt_Y,"“Aquele dinheiro que  vinha da Noruega, da Alemanha, para o Fundo Amazônico, onde 40% ia diretamente para ONGs”",1
4,02.mar.2021#,https://www.youtube.com/watch?v=aVoUcX4wLwU&ab_channel=JairBolsonaro,"“Eu não posso ter nada contra pessoas negras, meu sogro é conhecido como Paulo Negão.”",1
5,16.jul.2020#,https://www.youtube.com/watch?v=FSOAahACt_Y,“A mídia tem que ser livre.”,1
6,18.mai.2020#,https://www.youtube.com/watch?v=HpV-9AigccU,“(...) e agora não dá para aguentar mais R$ 50 bi por mês.”,1
7,17.out.2019#,https://www.facebook.com/jairmessias.bolsonaro/videos/948583245600630/,“[o fundo partidário do PSL em 2018] mais ou menos R$ 10 milhões.”,1
8,01.out.2019#,https://twitter.com/jairbolsonaro/status/1377601543202074624,"“[diretrizes educacionais da OMS] Para crianças de 0 a 4 anos de idade: satisfação e prazer ao tocar o próprio corpo, masturbação; expressar suas necessidades e desejos, por exemplo, no contexto de ""brincar de médico""; as crianças têm sentimentos sexuais mesmo na primeira infância. Para crianças de 4 a 6 anos de idade: uma identidade de gênero positiva; gozo e prazer ao tocar o próprio corpo; masturbação na primeira infância; relação entre pessoas do mesmo sexo. Para crianças de 9 a 12 anos: primeira experiência sexual.”",1
9,09.jul.2020#,https://www.youtube.com/watch?v=YCliiy_yl9Y&ab_channel=JairBolsonaro,“A proposta inicial [da PEC que altera as regras do Fundeb] começou há três anos atrás.”,1
10,13.nov.2020#,https://www.youtube.com/watch?v=4p9fOptKBPc,"“E a garotada voltando, você pega a prova do Pisa. Vamos ter esse ano. Foi em 2018, três anos depois.”",1
11,11.ago.2020#,https://www.youtube.com/watch?v=zNVRld3flao,“O Brasil já tem garantidos mais de 562 milhões de doses de vacinas contra a Covid-19 até o fim de 2021.”,1
12,11.nov.2020#,https://www.youtube.com/watch?v=Wq5bmOohplk&ab_channel=OsPingosnosIs,"“Comigo aqui, [o médico cubano] ia ter um direito de trazer a família pra cá. ”",1
