data,titulo,url,noticia
20 de abril de 2021 16:00,Câmara de Ponta Grossa/PR aprova PL para disponibilizar ‘Kit Covid’ no SUS,https://tercalivre.com.br/camara-de-ponta-grossa-pr-aprova-pl-para-disponibilizar-kit-covid-no-sus/,"A Câmara do município de Ponta Grossa, no Paraná, aprovou na última segunda-feira (19) um Projeto de Lei que permite disponibilizar para o tratamento precoce o “Kit Covid” no Sistema Único de Saúde (SUS). O Projeto foi aprovado com onze votos a favor, cinco contras e uma abstenção.O próximo passo é a aprovação da prefeita da cidade, Elizabeth Schmidt. Sendo aprovada, a medida entrará em vigor para a população do município de Ponta Grossa.Com o tratamento precoce entrando em vigor, a população terá o direito a receber medicamentos, como a hidroxicloroquina, ivermectina e azitromicina, para combater a Covid-19.O vereador Leandro Bianco (Republicanos), um dos autores do projeto, declarou que o intuito do mesmo é que a população tenha mais uma opção para enfrentar o vírus chinês.Bianco diz ainda que a meta é criar um centro de atendimento no qual as pessoas seriam atendidas por um médico do SUS, que, por sua vez, teria a liberdade de receitar o tratamento precoce ou não. “Queremos fazer uma parceria com o setor privado. Não será usado dinheiro público”, diz o vereador.Partidos opositores de esquerda, como o PT e o PCdoB, declararam que, se o projeto for aprovado pelo Executivo local, entrarão com uma Ação Direta de Inconstitucionalidade (Adin) no Tribunal de Justiça do Estado do Paraná.Segundo o presidente municipal do PT, Nilson Neves, “o ‘kit covid’ não traz nenhum benefício e pode até piorar a situação de pessoas infectadas pelo novo coronavírus”, mas essa afirmação é contestada por vários especialistas e órgãos de saúde, como, por exemplo, a entidade de saúde Unimed do Pará."
15 de abril de 2021 21:19,"Após inclusão de estados e municípios na ‘CPI da Covid’, números de internações caem subitamente",https://tercalivre.com.br/apos-inclusao-de-estados-e-municipios-na-cpi-da-covid-numeros-de-internacoes-caem-subitamente/,"Após o presidente do Senado Federal, Rodrigo Pacheco (DEM-MG), determinar a inclusão de estados e municípios na “CPI da Covid”, números internações e intubações caíram subitamente em diversos estados, como, por exemplo, Rio de Janeiro, São Paulo e Bahia.O estado do Rio de Janeiro, segundo o Painel Coronavírus, registrou a menor fila de espera, nos últimos 25 dias, por um leito destinado ao tratamento de pacientes infectados pelo vírus chinês. Com os dados da última terça-feira (13), a espera caiu para menos da metade.Já no estado de São Paulo houve uma queda de 11,9% nas internações de pacientes com o vírus chinês em uma semana. Segundo o boletim epidemiológico de terça-feira (13), esse é o menor número de internações diárias desde o dia 2 de março.No estado da Bahia, a fila de infectados, que estavam intubados e aguardavam transferência em unidades de emergência e Unidades de Pronto Atendimento (UPAs), foi zerada. A informação foi divulgada também na terça-feira (13), pela Secretaria da Saúde do Estado (Sesab).Os números reduziram, curiosamente, após o presidente do Senado, Rodrigo Pacheco, decidir estender a “CPI da Covid” para governadores e prefeitos, e não somente para ações do Governo Federal.O deputado federal Eduardo Bolsonaro comentou, em seu perfil no Twitter, o curioso episódio ocorrido. “Após adicionar governadores e prefeitos, essa CPI deveria se chamar CPI dos milagres, ou das causas impossíveis!”, constatou o parlamentar, fazendo referência ao fato do número de internações caírem subitamente.Após adicionar governadores e prefeitos essa CPI deveria se chamar CPI dos milagres, ou das causas impossíveis! Aleluia!@oiIuiz @BrunoEnglerDM pic.twitter.com/MHx1gL79QI"
31 de março de 2021 12:12,13 países criticam falta de transparência da OMS e China sobre origem da Covid-19,https://tercalivre.com.br/13-paises-criticam-falta-de-transparencia-da-oms-e-china-sobre-origem-da-covid-19/,"Treze países emitiram nesta terça-feira (30) uma nota conjunta contra a falta da transparência da Organização Mundial da Saúde (OMS) e da China sobre a origem do coronavírus.O texto é assinado pelos governos dos Estados Unidos, Austrália, Canadá, República Tcheca, Dinamarca, Estônia, Israel, Japão, Letônia, Lituânia, Noruega, República da Coreia do Sul, Eslovênia e Reino Unido.Conforme o Terça Livre noticiou, o diretor-geral da OMS, Tedros Adhanom, afirmou hoje que a China escondeu dados “brutos” que poderiam ajudar a equipe de investigação a identificar a origem do surto do provável vírus chinês.Na nota divulgada pelos 13 países, os governos reafirmam seu compromisso com o trabalho para dar uma resposta global de melhoria sobre a pandemia da Covid-19 junto a especialistas internacionais, e defendem também uma “análise e avaliação transparente e independente, livre de interferência e influência indevida.”“A esse respeito, nos associamos expressando preocupações comuns em relação ao recente estudo realizado pela OMS  na China, ao mesmo tempo que reforçamos a importância de trabalharmos juntos para o desenvolvimento e uso de um processo rápido, eficaz, transparente, com base científica e independente para avaliações internacionais de tais surtos de origem desconhecida no futuro”, afirmam os países.Os estados argumentam que a missão da equipe da OMS tem um importante papel para o “avanço da saúde global e da segurança da saúde.” Por este motivo, o atraso na divulgação e investigação por parte do órgão levantam preocupações.Outro motivo para a publicação da nota conjunta foi a aceitação da Organização Mundial da Saúde sobre a falta de amostras originais e completas para a investigação, que não foram fornecidas pela China e influenciaram no relatório divulgado pelo órgão internacional."
25 de março de 2021 11:46,Bolsonaro anuncia comitê para combater a Covid-19,https://tercalivre.com.br/bolsonaro-anuncia-comite-para-combater-a-covid-19/,"O presidente da República, Jair Bolsonaro, declarou durante uma reunião nesta quarta-feira (24), para debater um plano nacional de combate à pandemia,  que o foco será a vacinação em massa. Bolsonaro também acrescentou que o tratamento precoce contra a vírus chinês não será descartado.Classificada como “proveitosa” pelo presidente, a reunião serviu para criar um comitê que irá se reunir semanalmente para analisar e redirecionar o rumo do combate ao vírus chinês.“Tratamos da possibilidade do tratamento precoce. Mas isso fica a cargo do ministro da Saúde, que respeita o direito e o dever do médico [em prescrever o tratamento] off label para tratar os infectados. […] Uma nova cepa, ou um novo vírus apareceu, e nós, obviamente, cada vez mais, nos preocupados em dar o atendimento adequado a essas pessoas”, declarou o presidente.“Será criado um comitê que se reunirá toda semana com autoridades para decidirmos ou redirecionarmos o rumo do combate ao coronavírus”, acrescentou Bolsonaro.Graduando em Filosofia pela PUC-Rio, Católico e cultivador de uma narrativa que tenha sentido segundo a forma humana.ComentárioNome * "
16 de março de 2021 16:23,Cidade de São Lourenço/MG não possui internações por Covid-19,https://tercalivre.com.br/cidade-de-sao-lourenco-mg-nao-possui-internacoes-por-covid-19/,"O prefeito da cidade mineira de São Lourenço, o médico Walter José Lessa (PTB), divulgou nesta segunda-feira (15) que a cidade do sul de Minas Gerais não possui internações por Covid-19. Dr. Lessa assumiu o cargo de prefeito em janeiro de 2021 e aposta no tratamento precoce para combater a doença.Segundo os dados da prefeitura, não há registro de morte ou internação em leito de UTI relacionado ao vírus chinês há mais de 20 dias.Atualmente, somente dois habitantes da cidade ocupam leitos de enfermaria, porém ainda são casos não confirmados.Em virtude do sucesso no combate ao vírus chinês devido ao tratamento precoce com azitromicina, dexametasona, ivermectina, vitamina D e zinco, o hospital local também está atendendo alguns pacientes com coronavírus transferidos de municípios vizinhos.“Nossa experiência aqui foi exitosa. Fazemos tratamento precoce já nos pacientes sintomáticos, no quarto dia, no máximo”, afirmou o médico. “[Iniciamos] antes mesmo de chegar o resultado do exame, que às vezes demora dez dias. Essa antecipação do tratamento com azitromicina, dexametasona, ivermectina, vitamina D e zinco tem salvado nossa população. Nós estamos com zero paciente internado na UTI.”Enquanto isso, na capital mineira, Belo Horizonte, o prefeito Alexandre Kalil decidiu intensificar ainda mais as medidas de isolamento social, e os casos de Covid-19 continuam aparecendo.O prefeito Walter Lessa, de São Lourenço (MG), informa que o tratamento precoce ""com azitromicina, dexametasona, ivermectina, vitamina D e zinco"" tem salvado a população de sua cidade. pic.twitter.com/uPXCnmFptE"
11 de março de 2021 19:31,"A pedido do Psol, tratamento precoce está proibido em Porto Alegre",https://tercalivre.com.br/a-pedido-do-psol-tratamento-precoce-esta-proibido-em-porto-alegre/,"Após atender um pedido do PSOL, a 10ª Vara da Fazenda Pública do Foro Central da Comarca de Porto Alegre proibiu que a cidade utilizasse o tratamento precoce contra a Covid-19 em fevereiro, e no último dia 8 o Tribunal de Justiça do Rio Grande do Sul (TJ-RS) manteve a proibição em uma nova decisão.Assinada pelos militantes socialistas Pedro Luís Fagundes Ruas, Alexsander Fraga da Silva, Luciana Genro, Matheus Pereira Gomes, Fernanda Melchiona e Silva, Carlos Roberto de Souza Robaina e Karen Santos, a Ação Popular (AP) pediu em regime de urgência que o Município de Porto Alegre (MPOA) e seu prefeito, Sebastião Melo,  ficassem proibidos de autorizar a distribuição, utilização e compra de medicamentos para tratamento contra o coronavírus.De acordo com o juiz Eugênio Couto Terra e a desembargadora Lúcia de Fátima Cerveira, do TJ-RS, o tratamento precoce para a Covid-19 não tem suporte em evidências científicas, por isso não pode ser usado.Para os militantes socialistas, ao oferecer a possibilidade do tratamento precoce aos cidadãos, o Município estaria indo contra a preservação da saúde pública.A prefeitura, no entanto, recorreu ao Tribunal do Estado para reverter a decisão em primeira instância, mas teve seu pedido negado.O Juiz Eugênio havia argumentado em fevereiro que a disponibilização do tratamento precoce para Covid-19, além do risco de danos à saúde individual, pelos efeitos colaterais que podem causar, poderia trazer um reflexo deletério à saúde coletiva.Na ação em primeira instância, o PSOL ainda pedia que os gestores públicos fossem proibidos de divulgar, por meio de propaganda institucional ou por pronunciamentos na imprensa, a eficácia do “kit-covid”, o que foi negado pelo juiz."
11 de março de 2021 18:59,"Medicamento testado no Amazonas reduziu em 92% a mortalidade por Covid-19, mostra estudo",https://tercalivre.com.br/medicamento-testado-no-amazonas-reduziu-em-92-a-mortalidade-por-covid-19-mostra-estudo/,"Um estudo desenvolvido no Amazonas com proxalutamida apresentou resultados promissores no tratamento da Covid-19 e reduziu em 92% a taxa de mortalidade entre os pacientes que receberam o medicamento.As informações foram divulgadas nesta quarta-feira (11) pelo Grupo Samel, que está conduzindo os trabalhos junto ao dermatologista e pesquisador americano Andy Goren e aos médicos Flávio Cadegiane (endocrinologista) e Ricardo Zimerman (infectologista).Participaram da pesquisa pacientes hospitalizados, que tinham idade acima de 18 anos e apresentassem baixa saturação de oxigênio em ar ambiente — ou seja,  precisaram obrigatoriamente de oxigênio (de preferência em alto fluxo).Esses pacientes também estavam com pelo menos 25% a 50% dos pulmões acometidos e o requisito era que não possuíssem disfunções importantes no fígado e rins.No grupo que tomou o placebo — 294 pacientes — houve o registro de 141 mortes, o equivalente a 47,6%. Já no grupo que tomou a proxalutamida  —296 pacientes — foram registradas 12 mortes, apenas 3,7% do total de pacientes.A conclusão é que a medicação reduziu em 92,2% a mortalidade de pessoas contaminadas. Observou-se ainda redução no tempo de internação entre os dois grupos de pacientes, além de redução significativa da necessidade de intubação dos pacientes.Os resultados foram apresentados nesta quarta-feira (10) pelo Grupo Samel, que está à frente do estudo. Em coletiva de imprensa, os pesquisadores explicaram que a pesquisa foi feita com 600 pacientes de nove hospitais de Manaus e no interior do Amazonas. Parte deles recebeu a proxalutamuda, e outra parte recebeu placebo."
24 de fevereiro de 2021 16:29,"Com tratamento precoce, Búzios zera casos de Covid",https://tercalivre.com.br/com-tratamento-precoce-buzios-zera-casos-de-covid/,"Após população protestar e reverter lockdown decretado pela Justiça em dezembro, Búzios consegue zerar número de casos de Covid-19. A informação foi divulgada pela Secretaria de Saúde de Armação dos Búzios, na Região dos Lagos do Rio de Janeiro, na última quinta-feira (18).Segundo a Secretaria, a cidade não registrou novos casos do vírus chinês no município e não há mais pacientes internados com a doença na cidade. A entidade informou ainda que o sucesso do enfrentamento ao vírus chinês se deu devido ao tratamento precoce nos pacientes com sintomas gripais.“As ações para prevenir qualquer aumento do quantitativo de pacientes infectados pelo coronavírus estão sendo tomadas desde o início do atual Governo, do prefeito Alexandre Martins”, informou o secretário, Dr. Marcelo Amaral.“Foram colocados mais de 40 novos agentes da saúde para fazer o levantamento precoce de casos de estado gripal. Automaticamente, esses pacientes são conduzidos às tendas de triagem para tratamento imediato”, acrescentou o secretário de Saúde.Graduando em Filosofia pela PUC-Rio, Católico e cultivador de uma narrativa que tenha sentido segundo a forma humana.ComentárioNome * "
11 de fevereiro de 2021 15:22,Ivermectina: Ensaio clínico aponta eficácia do tratamento precoce na redução de mortes por Covid-19,https://tercalivre.com.br/ivermectina-ensaio-clinico-aponta-eficacia-do-tratamento-precoce-na-reducao-de-mortes-por-covid-19/,"A Associação Médica do Rio Grande do Norte (AMRN), divulgou nesta segunda-feira (09) através de uma coletiva de imprensa sobre as “EVIDÊNCIAS CIENTÍFICAS DO TRATAMENTO PRECOCE DO COVID-19” que ensaios clínicos com mais de 10.509 pacientes mostraram, MAIS UMA VEZ, que a Ivermectina obteve cerca de  78% de eficácia na redução do risco de morte das pessoas infectadas pelo coronavírus.O tratamento precoce tem sido muito criticado por ‘especialistas’ do tribunal da internet, que, em contrapartida, defendem o uso de vacinas como a Coronavac, que obteve apenas 50,38% de eficácia, conforme o Terça Livre noticiou.“Os estudos ajudam a clarear e comprovam aquilo o que nós estamos vendo diariamente, mostrando a eficácia da Ivermectina no tratamento da doença, evitando a evolução para estágios mais graves, internamentos e, principalmente, mortes”, afirmou o médico infectologista Fernando Suassuna, durante a coletiva.“É fundamental que a comunidade médica se una, aprofunde e conheça esses estudos para que mais vidas possam ser salvas.”Os estudos tiveram a participação de 265 cientistas que trabalham em 38 ensaios clínicos utilizando o fármaco. Os resultados são publicados no site C19 Study.O C19 Study divulga também estudos com outros medicamentos como a Hidroxicloroquina, vitamina D, Zinco, Regeneron, Bamlanivimab (LY-CoV555), PVP-I, Remdesivir e também do uso de frutas, legumes e verduras como meios de tratamento precoce.“100% dos 38 estudos até o momento relatam efeitos positivos”, afirmou o site que tem acesso aos dados de estudos em todo mundo."
12 de janeiro de 2021 13:17,"Rede aciona STF, pede aprovação da Coronavac e reclama de ação técnica da Anvisa",https://tercalivre.com.br/rede-aciona-stf-pede-aprovacao-da-coronavac-e-reclama-de-acao-tecnica-da-anvisa/,"O partido Rede Sustentabilidade (REDE) entrou nesta segunda-feira (11) com uma ação no Supremo Tribunal Federal (STF) para que a Agência Nacional de Vigilância Sanitária (Anvisa) entregue no prazo de 72 horas o registro de uso emergencial da Coronavac.A vacina é produzida pelo Instituto Butantan em parceria com o laboratório chinês Sinovac Life Science.“A Anvisa solicitou complementação de informações ao Instituto Butantan, ao passo que não fez qualquer exigência em relação ao pedido da Fiocruz”, argumenta o partido na ação que trata da ‘urgência’ pelo motivo de “risco à vida e saúde pública por atraso no início da vacinação contra a covid-19”É demonstrado uma “condução desproporcional dos dois processos, que têm objetos e objetivos quase integralmente coincidentes: vacinar a população brasileira quanto antes, para evitar mais mortes e efeitos deletérios desnecessários”, afirma trecho do pedido criticando a ação padrão e técnica da Anvisa.No último sábado (09) a Anvisa comunicou que havia concluído a triagem dos documentos submetidos pelo Instituto Butantan para autorização de uso emergencial da vacina CoronaVac, mas que faltavam “dados necessários à avaliação da autorização de uso emergencial.”Em novembro de 2020, a Agência informou que o Instituto Butantan não havia entregue os documentos com resultados de nenhuma fase de pesquisa clínica da CoronaVac com seres humanos., conforme noticiou o Terça Livre.“As informações são essenciais para a confiabilidade do estudo apresentado. O grau de confiança nos resultados gerados por um estudo clínico, também chamado de validade interna, deve ser avaliado por uma autoridade sanitária para permitir concluir a eficácia e a segurança de uma vacina experimental”, afirmou a Anvisa por meio de nota."
